epoch,loss,recon,kl,time_sec
1,897.4770,848.8036,48.6734,23.45
2,503.7546,443.6084,60.1462,21.88
3,443.3083,382.8178,60.4905,22.12
4,402.0845,340.6861,61.3984,22.29
5,375.3411,314.4462,60.8949,22.34
6,356.6618,296.0676,60.5942,22.36
7,343.0191,282.4511,60.5680,22.40
8,331.6123,270.9388,60.6734,22.48
9,322.8933,262.1689,60.7244,22.48
10,316.2846,255.4008,60.8838,22.46
11,310.5182,249.3956,61.1226,22.44
12,304.5005,243.1219,61.3786,22.45
13,301.0938,239.5360,61.5578,22.47
14,297.3696,235.6422,61.7274,22.45
15,294.0365,232.2012,61.8354,22.47
16,291.8135,229.9424,61.8712,22.46
17,288.3106,226.1664,62.1443,22.50
18,286.6414,224.5846,62.0568,22.47
19,283.7211,221.5264,62.1948,22.46
20,281.6109,219.1193,62.4916,22.46
21,280.0967,217.4950,62.6017,22.42
22,278.3332,215.5904,62.7427,22.41
23,277.3025,214.3076,62.9949,22.40
24,274.7704,211.5342,63.2362,22.38
25,273.8496,210.3485,63.5010,22.40
26,272.1665,208.3083,63.8582,22.35
27,271.3241,207.3371,63.9870,22.36
28,270.2426,206.1069,64.1357,22.41
29,267.7521,203.3658,64.3862,22.38
30,265.9600,201.4305,64.5295,22.42
31,265.3618,200.5587,64.8031,22.43
32,263.8114,198.9107,64.9007,22.41
33,263.9205,198.8691,65.0514,22.42
34,262.1083,196.8989,65.2095,22.45
35,261.3242,195.9834,65.3408,22.42
36,260.3680,194.8907,65.4773,22.45
37,258.6676,193.1535,65.5141,22.44
38,258.0550,192.2536,65.8013,22.43
39,257.7905,191.9508,65.8397,22.42
40,256.5368,190.5552,65.9816,22.41
41,255.6590,189.5718,66.0872,22.39
42,254.4657,188.2146,66.2510,22.38
43,254.3011,188.0415,66.2595,22.38
44,253.7758,187.3233,66.4525,22.37
45,253.6074,186.9710,66.6364,22.35
46,251.8959,185.2672,66.6287,22.40
47,252.3871,185.6941,66.6930,22.40
48,250.6063,183.7919,66.8144,22.38
49,251.1012,184.1539,66.9473,22.40
50,249.9418,182.9751,66.9666,22.41
