epoch,loss,recon,kl,time_sec
1,1220.0179,1171.1922,48.8257,12.09
2,697.5516,649.0641,48.4875,11.22
3,576.1253,517.4650,58.6603,11.30
4,519.6758,457.9524,61.7234,11.37
5,486.6376,425.5084,61.1292,11.42
6,463.5801,403.3368,60.2433,11.44
7,444.8276,384.8564,59.9712,11.47
8,428.5346,368.6516,59.8830,11.54
9,415.9445,356.0175,59.9271,11.52
10,406.6895,346.7212,59.9683,11.52
11,393.9264,333.8429,60.0835,11.54
12,387.6300,327.3741,60.2559,11.57
13,381.9228,321.4946,60.4282,11.62
14,373.6804,313.4702,60.2101,11.61
15,368.1248,307.5608,60.5640,11.59
16,363.4692,302.6141,60.8551,11.59
17,359.6804,298.9040,60.7764,11.58
18,355.7764,294.8319,60.9445,11.63
19,352.1972,291.1539,61.0433,11.60
20,348.3172,287.1668,61.1504,11.62
21,347.2672,285.9096,61.3576,11.64
22,343.2518,281.8860,61.3659,11.62
23,340.0176,278.5376,61.4800,11.60
24,338.9243,277.1510,61.7734,11.63
25,337.0002,275.1877,61.8125,11.59
26,334.7643,272.7769,61.9874,11.59
27,332.5910,270.5810,62.0100,11.58
28,331.4519,269.3194,62.1326,11.59
29,328.9762,266.6762,62.3000,11.59
30,326.7732,264.3644,62.4087,11.60
31,325.6739,262.8794,62.7945,11.58
32,324.2586,261.4257,62.8328,11.59
33,321.5649,258.5504,63.0145,11.58
34,320.5552,257.3509,63.2042,11.55
35,320.4382,256.9454,63.4928,11.58
36,318.5901,255.0912,63.4989,11.59
37,316.0066,252.1056,63.9009,11.56
38,315.6299,251.7110,63.9189,11.55
39,313.8122,249.4362,64.3760,11.57
40,312.3555,247.9828,64.3727,11.56
41,311.7183,247.0561,64.6622,11.60
42,308.5276,243.7140,64.8136,11.58
43,309.1399,244.1723,64.9676,11.60
44,307.5058,242.4445,65.0613,11.56
45,308.3849,243.0501,65.3349,11.59
46,304.9025,239.5118,65.3907,11.58
47,304.1918,238.6822,65.5096,11.60
48,303.7865,238.1309,65.6556,11.61
49,302.7972,237.1731,65.6241,11.62
50,302.6451,236.7626,65.8826,11.64
